fecha,hora,tipo,trending,visto
2022-09-26,3:28 AM,mention,false,true
2022-07-06,7:21 PM,retweet,false,false
2022-09-06,9:12 PM,comment,false,false
2023-05-17,5:42 PM,like,false,true
2022-08-05,2:32 PM,follow,false,false
2022-11-20,6:55 PM,retweet,false,false
2023-03-26,6:46 PM,mention,false,true
2022-10-11,8:10 AM,like,false,false
2022-06-14,10:04 PM,follow,false,true
2022-08-17,4:02 PM,recomendation,true,false
2022-10-08,6:09 PM,mention,false,true
2023-05-24,6:53 AM,recomendation,true,true
2023-04-01,9:07 AM,mention,false,true
2023-01-17,5:08 PM,comment,false,true
2022-06-11,4:08 PM,recomendation,true,false
2022-08-06,6:11 AM,mention,false,false
2022-09-15,6:37 AM,mention,false,false
2022-10-15,1:40 PM,recomendation,true,false
2022-07-26,3:39 PM,retweet,false,false
2022-12-01,7:31 AM,follow,false,true
2023-01-04,9:36 AM,mention,false,true
2022-07-09,11:27 PM,mention,false,false
2022-11-06,11:28 AM,like,false,true
2022-06-24,6:16 PM,like,false,false
2022-08-04,4:43 PM,comment,false,true
2022-12-12,11:02 AM,mention,false,true
2023-03-13,7:56 AM,recomendation,true,true
2022-08-28,10:06 PM,comment,false,false
2022-08-18,7:54 PM,retweet,false,false
2023-03-18,8:50 AM,mention,false,true
2023-01-12,2:39 AM,like,false,false
2023-05-13,9:35 AM,like,false,false
2022-12-18,6:13 AM,like,false,true
2023-04-20,1:36 AM,comment,false,true
2022-11-23,5:24 AM,retweet,false,true
2022-11-18,12:05 AM,retweet,false,true
2023-04-27,6:24 PM,recomendation,true,true
2022-10-19,7:56 AM,retweet,false,false
2023-03-11,11:19 PM,comment,false,false
2023-01-14,10:37 AM,follow,false,false
2022-06-02,5:25 PM,follow,false,true
2022-12-24,5:26 AM,comment,false,false
2023-01-01,12:32 PM,follow,false,true
2023-01-28,8:05 AM,mention,false,true
2023-01-26,6:11 PM,like,false,false
2022-12-03,9:09 PM,follow,false,true
2022-06-04,9:38 PM,comment,false,true
2022-10-05,6:06 AM,recomendation,true,true
2023-02-28,3:50 PM,recomendation,true,false
2023-04-21,1:20 PM,comment,false,true
2022-10-15,3:31 AM,like,false,false
2022-08-15,4:10 PM,comment,false,true
2022-09-06,7:10 AM,follow,false,true
2022-10-22,5:07 PM,retweet,false,true
2022-08-29,3:42 AM,comment,false,true
2023-03-04,5:22 AM,follow,false,true
2023-03-10,5:44 PM,like,false,true
2023-01-15,5:38 AM,retweet,false,false
2022-07-07,12:10 PM,like,false,false
2022-07-04,4:13 PM,recomendation,true,true
2023-04-10,8:17 AM,like,false,true
2023-01-26,3:29 AM,like,false,true
2022-07-09,9:54 AM,like,false,false
2023-05-19,10:56 AM,follow,false,false
2022-07-17,6:00 AM,follow,false,true
2022-06-08,5:39 PM,comment,false,false
2022-10-17,2:59 PM,like,false,false
2022-06-16,9:13 AM,like,false,false
2023-01-03,7:04 AM,retweet,false,false
2023-01-07,9:53 AM,like,false,true
2023-05-18,9:13 AM,recomendation,true,false
2023-04-21,7:14 PM,retweet,false,true
2022-09-17,10:37 PM,comment,false,true
2022-12-24,6:16 PM,follow,false,false
